Country;Organization
Afghanistan;AsDB
Afghanistan;COLOMBO
Afghanistan;ECO
Afghanistan;ICCROM
Afghanistan;NAM
Afghanistan;PIARC
Afghanistan;SAARC
Afghanistan;WHO
Afghanistan;UN
Albania;BSEC
Albania;CEEPN
Albania;CEI
Albania;COE
Albania;EAPC
Albania;EBRD
Albania;ECPTA
Albania;EMPPO
Albania;EUFMD
Albania;FAO
Albania;GEF
Albania;IAEA
Albania;IBRD
Albania;ICAO
Albania;ICCROM
Albania;ICMMP
Albania;IFAD
Albania;IFC
Albania;ILO
Albania;IMF
Albania;IMO
Albania;INTERPOL
Albania;IOEz
Albania;IOMig
Albania;IOPCF
Albania;IOcC
Albania;ISDB
Albania;ITU
Albania;IUPCT
Albania;IUPIP
Albania;IUPLAW
Albania;MIGA
Albania;MWN
Albania;Montreal
Albania;OIC
Albania;OSCE
Albania;OTIF
Albania;UN
Albania;UNESCO
Albania;UNIDO
Albania;UPU
Albania;WCO
Albania;WHO
Albania;WIPO
Albania;WMO
Albania;WTO
Albania;WTOURO
Algeria;AAAID
Algeria;AACB
Algeria;AATA
Algeria;AATPO
Algeria;ABEDA
Algeria;AFESD
Algeria;AFTE
Algeria;ALO
Algeria;AMF
Algeria;AMU
Algeria;AOAD
Algeria;AOCRS
Algeria;ARPU
Algeria;AfDB
Algeria;Africare
Algeria;CAMRSD
Algeria;CFC
Algeria;EMPPO
Algeria;FAO
Algeria;G15
Algeria;G24
Algeria;GEF
Algeria;IAEA
Algeria;IAIGC
Algeria;IBRD
Algeria;ICAO
Algeria;ICCO
Algeria;ICCROM
Algeria;ICMMP
Algeria;ICSE
Algeria;ICivDO
Algeria;IEXB
Algeria;IFAD
Algeria;IFC
Algeria;IGC
Algeria;IHO
Algeria;IIF
Algeria;ILO
Algeria;IMF
Algeria;IMO
Algeria;IMSO
Algeria;INFSMK
Algeria;INTELSAT
Algeria;INTERPOL
Algeria;IOEz
Algeria;IOLM
Algeria;IOMig
Algeria;IOOC
Algeria;IOPCF
Algeria;IOcC
Algeria;IPGRI
Algeria;ISDB
Algeria;ITU
Algeria;IUPCT
Algeria;IUPIP
Algeria;IUPLAW
Algeria;IVWO
Algeria;LOAS
Algeria;MIGA
Algeria;MWN
Algeria;Montreal
Algeria;NAM
Algeria;OAPEC
Algeria;OAU
Algeria;OIC
Algeria;OPEC
Algeria;OTIF
Algeria;PIARC
Algeria;RASCOM
Algeria;RIMMO
Algeria;SITTDEC
Algeria;UN
Algeria;UNESCO
Algeria;UNIDO
Algeria;UPU
Algeria;WCO
Algeria;WHO
Algeria;WIPO
Algeria;WMO
Algeria;WTOURO
Andorra;COE
Andorra;ECPTA
Andorra;ICCROM
Andorra;INTERPOL
Andorra;IOEz
Andorra;ITU
Andorra;OSCE
Andorra;PIARC
Andorra;UN
Andorra;UNESCO
Andorra;WCO
Andorra;WIPO
Andorra;WTOURO
Angola;ACP
Angola;ACPEU
Angola;ACSO
Angola;AFEXIMB
Angola;ATO
Angola;AfDB
Angola;Africare
Angola;BIONET
Angola;CAMRSD
Angola;CFC
Angola;COMESA
Angola;CPSC
Angola;FAO
Angola;IAEA
Angola;IBRD
Angola;ICAO
Angola;ICCROM
Angola;ICfO
Angola;IFAD
Angola;IFC
Angola;ILO
Angola;IMF
Angola;IMO
Angola;INTELSAT
Angola;INTERPOL
Angola;IOEz
Angola;IOMig
Angola;IOcC
Angola;ISA
Angola;ITU
Angola;MCWCASM
Angola;MIGA
