HeadlineId	IsSarcasm
0	yes
1	no
10	no
100	yes
1000	yes
10000	no
10001	yes
10002	no
10003	yes
10004	no
10005	no
10006	yes
10007	yes
10008	no
10009	no
1001	yes
10010	no
10011	yes
10012	yes
10013	no
10014	yes
10015	yes
10016	no
10017	yes
10018	yes
10019	yes
1002	no
10020	no
10021	yes
10022	no
10023	yes
10024	yes
10025	no
10026	yes
10027	no
10028	no
10029	yes
1003	yes
10030	yes
10031	yes
10032	no
10033	yes
10034	no
10035	yes
10036	yes
10037	no
10038	yes
10039	no
1004	yes
10040	yes
10041	no
10042	no
10043	yes
10044	yes
10045	no
10046	no
10047	no
10048	no
10049	no
1005	yes
10050	yes
10051	yes
10052	yes
10053	yes
10054	no
10055	yes
10056	no
10057	yes
10058	yes
10059	yes
1006	no
10060	yes
10061	yes
10062	no
10063	no
10064	yes
10065	no
10066	no
10067	no
10068	no
10069	yes
1007	yes
10070	yes
10071	no
10072	yes
10073	no
10074	yes
10075	yes
10076	no
10077	yes
10078	no
10079	yes
1008	yes
10080	no
10081	no
10082	yes
10083	no
10084	yes
10085	yes
10086	yes
10087	yes
10088	no
10089	no
1009	yes
10090	yes
10091	no
10092	no
10093	no
10094	yes
10095	no
10096	yes
10097	yes
10098	yes
10099	yes
101	no
1010	yes
10100	no
10101	yes
10102	yes
10103	yes
10104	yes
10105	no
10106	yes
10107	no
10108	no
10109	no
1011	no
10110	no
10111	yes
10112	yes
10113	no
10114	yes
10115	yes
10116	yes
10117	no
10118	yes
10119	no
1012	no
10120	yes
10121	no
10122	no
10123	no
10124	no
10125	yes
10126	no
10127	no
10128	yes
10129	no
1013	yes
10130	yes
10131	yes
10132	no
10133	no
10134	no
10135	no
10136	yes
10137	yes
10138	yes
10139	yes
1014	yes
10140	yes
10141	yes
10142	yes
10143	yes
10144	no
10145	no
10146	yes
10147	no
10148	no
10149	yes
1015	yes
10150	yes
10151	yes
10152	no
10153	no
10154	no
10155	yes
10156	yes
10157	no
10158	yes
10159	yes
1016	yes
10160	yes
10161	no
10162	yes
10163	yes
10164	yes
10165	yes
10166	yes
10167	yes
10168	yes
10169	no
1017	yes
10170	no
10171	yes
10172	yes
10173	no
10174	no
10175	no
